municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Villarta de los Montes,587,11,117.13,293.50,34377.86,41.00,8.20,49.20
Carrascalejo,337,42,54.19,168.50,9130.37,18.97,20.06,39.03
Helechosa de los Montes,716,11,86.49,358.00,30965.17,30.27,8.20,38.48
Valdecaballeros,1218,11,67.27,609.00,40967.32,23.54,8.20,31.75
Cabañas del Castillo,423,42,32.69,211.50,6913.70,11.44,20.06,31.51
Valencia del Mombuey,782,5,69.19,391.00,27053.75,24.22,7.09,31.30
Monroy,994,33,31.43,497.00,15622.74,11.00,19.84,30.85
Santiago del Campo,307,30,25.41,153.50,3900.74,8.89,21.63,30.52
Talaván,923,30,25.31,461.50,11678.99,8.86,21.63,30.48
Granja de Torrehermosa,2377,16,44.02,1188.50,52319.01,15.41,14.40,29.80
Castilblanco,1151,11,57.66,575.50,33185.14,20.18,8.20,28.38
Higuera la Real,2474,5,60.81,1237.00,75221.44,21.28,7.09,28.37
Hinojal,441,30,18.63,220.50,4106.83,6.52,21.63,28.15
Deleitosa,838,42,23.05,419.00,9659.71,8.07,20.06,28.13
Torrejón el Rubio,614,33,21.99,307.00,6749.42,7.69,19.84,27.54
Fresnedoso de Ibor,329,42,17.19,164.50,2827.39,6.02,20.06,26.08
Malcocinado,449,10,54.90,224.50,12325.51,19.22,6.66,25.88
Villar del Pedroso,673,27,49.61,336.50,16693.61,17.36,8.41,25.77
Eljas,1033,31,48.34,516.50,24967.82,16.92,8.81,25.73
Valverde del Fresno,2509,31,47.38,1254.50,59433.57,16.58,8.81,25.40
Herrera de Alcántara,285,39,47.17,142.50,6722.33,16.51,8.61,25.12
San Martín de Trevejo,916,31,46.39,458.00,21246.06,16.24,8.81,25.05
Pedroso de Acim,115,30,9.51,57.50,546.78,3.33,21.63,24.95
Piedras Albas,207,24,19.59,103.50,2027.92,6.86,18.04,24.90
Cedillo,497,39,45.47,248.50,11299.82,15.92,8.61,24.52
Garganta. La,490,22,44.70,245.00,10951.54,15.65,8.81,24.46
Oliva de la Frontera,5612,5,49.23,2806.00,138143.82,17.23,7.09,24.32
Mirabel,730,33,12.78,365.00,4663.75,4.47,19.84,24.32
Acehúche,852,24,17.89,426.00,7621.98,6.26,18.04,24.30
Casas de Millán,690,30,7.55,345.00,2605.38,2.64,21.63,24.27
Pesga. La,1123,21,41.77,561.50,23456.15,14.62,9.38,24.00
Zah¡nos,2906,13,48.82,1453.00,70940.00,17.09,6.59,23.67
Robledollano,402,42,9.51,201.00,1911.86,3.33,20.06,23.39
Peraleda del Zaucejo,608,16,25.16,304.00,7647.49,8.80,14.40,23.20
Herreruela,386,44,37.69,193.00,7274.34,13.19,9.90,23.10
Navalvillar de Ibor,504,42,8.48,252.00,2136.52,2.97,20.06,23.03
Madrigalejo,1953,45,40.60,976.50,39641.62,14.21,8.69,22.90
Herrera del Duque,3688,11,41.87,1844.00,77203.17,14.65,8.20,22.86
Valdelacasa de Tajo,455,27,41.08,227.50,9344.65,14.38,8.41,22.79
Campillo de Deleitosa,79,27,41.01,39.50,1619.77,14.35,8.41,22.76
Al¡a,1021,45,39.40,510.50,20111.50,13.79,8.69,22.48
Cañaveral,1284,30,2.20,642.00,1411.76,0.77,21.63,22.40
Villamiel,675,31,38.40,337.50,12960.57,13.44,8.81,22.25
Baños de Montemayor,703,22,38.36,351.50,13482.41,13.42,8.81,22.24
Alcollarín,266,36,16.99,133.00,2259.84,5.95,16.09,22.04
Manchita,764,3,45.83,382.00,17507.96,16.04,5.83,21.87
Cilleros,1868,31,36.74,934.00,34317.62,12.86,8.81,21.67
Campillo de Llerena,1518,10,42.74,759.00,32435.89,14.96,6.66,21.62
Valle de Santa Ana,1192,9,49.43,596.00,29461.00,17.30,4.22,21.52
Abertura,454,36,15.50,227.00,3518.59,5.43,16.09,21.52
Villagarcía de la Torre,986,1,37.15,493.00,18316.71,13.00,8.50,21.50
Villanueva del Fresno,3678,13,42.26,1839.00,77718.38,14.79,6.59,21.38
Zarza la Mayor,1409,24,9.35,704.50,6587.32,3.27,18.04,21.31
Villamesías,311,36,14.91,155.50,2319.23,5.22,16.09,21.31
Valle de Matamoros,423,5,40.60,211.50,8586.20,14.21,7.09,21.30
Aldeacentenera,774,19,35.41,387.00,13704.18,12.39,8.81,21.21
Retamal de Llerena,501,6,35.94,250.50,9002.93,12.58,8.55,21.12
Campo Lugar,1030,36,14.29,515.00,7357.80,5.00,16.09,21.09
Valdecañas de Tajo,119,27,36.13,59.50,2149.46,12.64,8.41,21.05
Codosera. La,2322,39,35.39,1161.00,41093.03,12.39,8.61,21.00
Almoharín,1997,36,13.70,998.50,13677.99,4.79,16.09,20.89
Garciaz,851,19,34.37,425.50,14622.93,12.03,8.81,20.84
Casta¤ar de Ibor,1225,42,1.97,612.50,1209.14,0.69,20.06,20.76
Serradilla,1766,33,2.55,883.00,2253.96,0.89,19.84,20.74
Salvaleón,2049,13,39.70,1024.50,40676.37,13.90,6.59,20.48
Navalvillar de Pela,4787,45,33.53,2393.50,80248.98,11.73,8.69,20.43
Garvín,105,27,34.28,52.50,1799.71,12.00,8.41,20.41
Navezuelas,698,45,33.34,349.00,11634.95,11.67,8.69,20.36
Calera de León,1060,8,32.80,530.00,17383.94,11.48,8.84,20.32
Azuaga,8301,10,39.02,4150.50,161951.42,13.66,6.66,20.32
Madrigal de la Vera,1819,22,32.22,909.50,29305.93,11.28,8.81,20.09
Bienvenida,2326,1,33.06,1163.00,38453.71,11.57,8.50,20.07
Carbajo,227,39,32.50,113.50,3689.03,11.38,8.61,19.98
Fuenlabrada de los Montes,1955,11,33.62,977.50,32861.61,11.77,8.20,19.97
Casas de Don Pedro,1632,11,33.49,816.00,27327.29,11.72,8.20,19.92
Berrocalejo,105,27,32.89,52.50,1726.92,11.51,8.41,19.92
Mohedas de Granadilla,976,21,30.01,488.00,14644.31,10.50,9.38,19.88
Oliva de Mérida,1875,1,32.40,937.50,30379.16,11.34,8.50,19.84
Palomero,452,25,31.92,226.00,7213.40,11.17,8.64,19.81
Marchagaz,248,21,29.70,124.00,3683.01,10.40,9.38,19.77
Ceclavín,2054,24,4.89,1027.00,5018.05,1.71,18.04,19.75
Botija,199,41,31.10,99.50,3094.13,10.88,8.80,19.68
Garrovillas de Alconétar,2280,44,27.80,1140.00,31696.40,9.73,9.90,19.64
Cordobilla de Lácara,967,41,30.96,483.50,14966.83,10.83,8.80,19.63
Santibáñez el Bajo,829,22,30.57,414.50,12672.56,10.70,8.81,19.51
Cerezo,190,22,30.46,95.00,2894.06,10.66,8.81,19.48
Santa Marta de Magasca,309,19,30.45,154.50,4704.79,10.66,8.81,19.47
Hervás,4126,22,30.22,2063.00,62338.11,10.58,8.81,19.39
Valle de la Serena,1425,6,30.62,712.50,21815.11,10.72,8.55,19.26
Salorino,689,39,30.21,344.50,10406.11,10.57,8.61,19.18
Plasenzuela,538,41,29.17,269.00,7847.82,10.21,8.80,19.01
Capilla,187,7,21.43,93.50,2003.56,7.50,11.44,18.94
Guadalupe,2096,45,29.25,1048.00,30658.83,10.24,8.69,18.93
Peraleda de San Román,294,27,29.94,147.00,4401.57,10.48,8.41,18.89
Guareña,7312,3,37.30,3656.00,136377.68,13.06,5.83,18.89
