municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,22.4850,2.9586,22.4850,2.9586,1,22.4850,2.9586,1,18.3434,2.9586,1,0.2500
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,21.6329,1.7626,21.6329,1.7626,1,21.6329,1.7626,1,14.8306,1.7626,1,0.2500
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,19.0352,2.4990,19.0352,2.4990,1,19.0352,2.4990,1,15.6609,2.4990,1,0.2500
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,15.9136,2.2107,15.9136,2.2107,1,15.9136,2.2107,1,13.9784,2.2107,1,0.2500
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,18.2422,1.4401,18.2422,1.4401,1,18.2422,1.4401,1,12.9481,1.4401,1,0.2500
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,16.8245,2.2179,16.8245,2.2179,1,16.8245,2.2179,1,13.7067,2.2179,1,0.2500
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,14.4740,1.3855,14.4740,1.3855,1,14.4740,1.3855,1,12.5680,1.3855,1,0.2500
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,19.9021,1.2747,17.5176,2.3993,0,17.5176,2.3993,0,12.4237,1.2747,1,0.2500
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,14.4599,1.2732,14.4599,1.2732,1,14.4599,1.2732,1,12.4162,1.2732,1,0.2500
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,13.5988,1.7194,13.5988,1.7194,1,13.5988,1.7194,1,12.9861,1.7194,1,0.2500
