v_op,F,EF1,p,Coste_regional_S0,Coste_S1,Coste_S2,CO2_S0_t,CO2_S1_t,CO2_S2_t,n_onsite_S1,n_onsite_S2,n_perdedores_S1,pct_mejorados_S2,rec_share_base,rec_share_onsite,EF5_NA,CAP_ANUAL_T,Coste_S2_cap,CO2_S2_cap_t,n_onsite_S2_cap,n_perdedores_S2_cap,Coste_S3,CO2_S3_t,n_onsite_S3,n_perdedores_S3
8,1250,30,0.1,10058521.01375,9972382.912375,9768756.210313082,1947.5499375,1769.33109375,1806.2256302668357,383,110,273,28.720626631853786,0.6,0.85,4.0,200000,9768756.210313082,1806.2256302668357,110,0,9533632.912375,1769.33109375,383,0
8,1250,30,0.2,10058521.01375,9407494.811,9289041.847453477,1947.5499375,1591.11225,1621.1231986545836,383,205,178,53.52480417754569,0.6,0.85,4.0,200000,9289041.847453477,1621.1231986545836,205,0,8968744.811,1591.11225,383,0
8,1250,30,0.3,10058521.01375,8842606.709624998,8762435.988993512,1947.5499375,1412.89340625,1437.0158618565868,383,251,132,65.53524804177546,0.6,0.85,4.0,200000,8762435.988993512,1437.0158618565868,251,0,8403856.709625,1412.89340625,383,0
8,1250,30,0.4,10058521.01375,8277718.60825,8219696.963800748,1947.5499375,1234.6745625,1255.7551170614927,383,280,103,73.1070496083551,0.6,0.85,4.0,200000,8248638.337108995,1293.7700744650567,251,0,7838968.60825,1234.6745625,383,0
8,1250,30,0.5,10058521.01375,7712830.506875,7670051.708971003,1947.5499375,1056.45571875,1074.6744701725145,383,298,85,77.80678851174935,0.6,0.85,4.0,200000,7891158.19547751,1277.2887745480723,295,0,7274080.506875,1056.45571875,383,0
8,1250,30,0.6,10058521.01375,7147942.4055,7115645.935185712,1947.5499375,878.236875,891.9909904273468,383,320,63,83.55091383812011,0.6,0.85,4.0,200000,7544191.784746114,1251.11532355681,232,0,6709192.4055,878.236875,383,0
8,1250,30,0.7,10058521.01375,6583054.304125,6557391.167222264,1947.5499375,700.0180312500001,711.7340543426227,383,331,52,86.42297650130548,0.6,0.85,4.0,200000,7291757.402547875,1231.0595869741037,220,0,6144304.304125001,700.0180312500001,383,0
8,1250,60,0.1,10058521.01375,9972382.912375,9768756.210313082,2517.087375,2281.9147875,2330.604060533671,383,110,273,28.720626631853786,0.6,0.85,4.0,200000,9768756.210313082,2330.604060533671,110,0,9533632.912375,2281.9147875,383,0
8,1250,60,0.2,10058521.01375,9407494.811,9289041.847453477,2517.087375,2046.7422,2085.615717309167,383,205,178,53.52480417754569,0.6,0.85,4.0,200000,9289041.847453477,2085.615717309167,205,0,8968744.811,2046.7422,383,0
8,1250,60,0.3,10058521.01375,8842606.709624998,8762435.988993512,2517.087375,1811.5696125,1842.6667337131735,383,251,132,65.53524804177546,0.6,0.85,4.0,200000,8762435.988993512,1842.6667337131735,251,0,8403856.709625,1811.5696125,383,0
8,1250,60,0.4,10058521.01375,8277718.60825,8219696.963800748,2517.087375,1576.397025,1603.2531741229852,383,280,103,73.1070496083551,0.6,0.85,4.0,200000,8248638.337108995,1649.4185289301133,251,0,7838968.60825,1576.397025,383,0
8,1250,60,0.5,10058521.01375,7712830.506875,7670051.708971003,2517.087375,1341.2244375,1364.568090345029,383,298,85,77.80678851174935,0.6,0.85,4.0,200000,7891158.19547751,1614.3595490961445,295,0,7274080.506875,1341.2244375,383,0
8,1250,60,0.6,10058521.01375,7147942.4055,7115645.935185712,2517.087375,1106.05185,1123.6495208546933,383,320,63,83.55091383812011,0.6,0.85,4.0,200000,7544191.784746114,1564.0843871136196,232,0,6709192.4055,1106.05185,383,0
8,1250,60,0.7,10058521.01375,6583054.304125,6557391.167222264,2517.087375,870.8792625000001,885.8282186852454,383,331,52,86.42297650130548,0.6,0.85,4.0,200000,7291757.402547875,1524.022303948207,220,0,6144304.304125001,870.8792625000001,383,0
8,1250,120,0.1,10058521.01375,9972382.912375,9768756.210313082,3656.16225,3307.0821750000005,3379.3609210673426,383,110,273,28.720626631853786,0.6,0.85,4.0,200000,9768756.210313082,3379.3609210673426,110,0,9533632.912375,3307.0821750000005,383,0
8,1250,120,0.2,10058521.01375,9407494.811,9289041.847453477,3656.16225,2958.0021,3014.6007546183346,383,205,178,53.52480417754569,0.6,0.85,4.0,200000,9289041.847453477,3014.6007546183346,205,0,8968744.811,2958.0021,383,0
8,1250,120,0.3,10058521.01375,8842606.709624998,8762435.988993512,3656.16225,2608.922025,2653.968477426347,383,251,132,65.53524804177546,0.6,0.85,4.0,200000,8762435.988993512,2653.968477426347,251,0,8403856.709625,2608.922025,383,0
8,1250,120,0.4,10058521.01375,8277718.60825,8219696.963800748,3656.16225,2259.8419499999995,2298.2492882459705,383,280,103,73.1070496083551,0.6,0.85,4.0,200000,8248638.337108995,2360.7154378602268,251,0,7838968.60825,2259.8419499999995,383,0
8,1250,120,0.5,10058521.01375,7712830.506875,7670051.708971003,3656.16225,1910.761875,1944.3553306900583,383,298,85,77.80678851174935,0.6,0.85,4.0,200000,7891158.19547751,2288.501098192289,295,0,7274080.506875,1910.761875,383,0
8,1250,120,0.6,10058521.01375,7147942.4055,7115645.935185712,3656.16225,1561.6818,1586.9665817093867,383,320,63,83.55091383812011,0.6,0.85,4.0,200000,7544191.784746114,2190.0225142272393,232,0,6709192.4055,1561.6818,383,0
8,1250,120,0.7,10058521.01375,6583054.304125,6557391.167222264,3656.16225,1212.601725,1234.0165473704906,383,331,52,86.42297650130548,0.6,0.85,4.0,200000,7291757.402547875,2109.9477378964143,220,0,6144304.304125001,1212.601725,383,0
8,2500,30,0.1,10058521.01375,10451132.912375,9856385.985439746,1947.5499375,1769.33109375,1839.6464518719781,383,40,343,10.443864229765014,0.6,0.85,4.0,200000,9856385.985439746,1839.6464518719781,40,0,9573351.238215186,1769.983159466689,382,0
8,2500,30,0.2,10058521.01375,9886244.811,9478991.406876165,1947.5499375,1591.11225,1664.9013230336714,383,110,273,28.720626631853786,0.6,0.85,4.0,200000,9478991.406876165,1664.9013230336714,110,0,9008744.811,1591.11225,383,0
8,2500,30,0.3,10058521.01375,9321356.709625,9018650.575008376,1947.5499375,1412.89340625,1478.145189671432,383,166,217,43.34203655352481,0.6,0.85,4.0,200000,9018650.575008376,1478.145189671432,166,0,8443856.709625,1412.89340625,383,0
8,2500,30,0.4,10058521.01375,8756468.60825,8519562.681156952,1947.5499375,1234.6745625,1294.6964598091672,383,205,178,53.52480417754569,0.6,0.85,4.0,200000,8520073.127201902,1299.1052239758774,199,0,7878968.60825,1234.6745625,383,0
8,2500,30,0.5,10058521.01375,8191580.506875,7998467.308084229,1947.5499375,1056.45571875,1109.871542317934,383,233,150,60.8355091383812,0.6,0.85,4.0,200000,8145239.44420016,1278.0312122742994,200,0,7314080.506875,1056.45571875,383,0
8,2500,30,0.6,10058521.01375,7626692.4055,7466350.964237025,1947.5499375,878.236875,926.4817862131736,383,251,132,65.53524804177546,0.6,0.85,4.0,200000,7809435.310842761,1256.4565149336652,197,0,6749192.4055,878.236875,383,0
