p,EF5_NA,rec_share_base,rec_share_onsite,delta_rec,CO2_S0_t,CO2_S1_t,credito_S1_t,CO2_S2_t,credito_S2_t
0.3,2.0,0.6,0.85,0.25,2517.087375,1894.2503624999997,82.68075,2162.798095745612,41.393025
0.3,2.0,0.6,0.6,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,2.0,0.4,0.85,0.44999999999999996,2517.087375,1828.1057624999999,148.82535,2129.683675745612,74.50744499999999
0.3,2.0,0.85,0.85,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,2.0,0.6,1.0,0.4,2517.087375,1844.6419124999998,132.2892,2137.962280745612,66.22883999999999
0.3,4.0,0.6,0.85,0.25,2517.087375,1811.5696125,165.3615,2121.405070745612,82.78605
0.3,4.0,0.6,0.6,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,4.0,0.4,0.85,0.44999999999999996,2517.087375,1679.2804124999998,297.6507,2055.176230745612,149.01488999999998
0.3,4.0,0.85,0.85,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,4.0,0.6,1.0,0.4,2517.087375,1712.3527124999998,264.5784,2071.733440745612,132.45767999999998
0.3,8.0,0.6,0.85,0.25,2517.087375,1646.2081124999997,330.723,2038.619020745612,165.5721
0.3,8.0,0.6,0.6,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,8.0,0.4,0.85,0.44999999999999996,2517.087375,1381.6297124999999,595.3014,1906.161340745612,298.02977999999996
0.3,8.0,0.85,0.85,0.0,2517.087375,1976.9311125,0.0,2204.191120745612,0.0
0.3,8.0,0.6,1.0,0.4,2517.087375,1447.7743124999997,529.1568,1939.275760745612,264.91535999999996
0.5,2.0,0.6,0.85,0.25,2517.087375,1479.0256875,137.80125,1831.7537106169614,81.561
0.5,2.0,0.6,0.6,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,2.0,0.4,0.85,0.44999999999999996,2517.087375,1368.7846875,248.04224999999997,1766.5049106169615,146.8098
0.5,2.0,0.85,0.85,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,2.0,0.6,1.0,0.4,2517.087375,1396.3449375,220.482,1782.8171106169616,130.4976
0.5,4.0,0.6,0.85,0.25,2517.087375,1341.2244375,275.6025,1750.1927106169614,163.122
0.5,4.0,0.6,0.6,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,4.0,0.4,0.85,0.44999999999999996,2517.087375,1120.7424375,496.08449999999993,1619.6951106169615,293.6196
0.5,4.0,0.85,0.85,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,4.0,0.6,1.0,0.4,2517.087375,1175.8629374999998,440.964,1652.3195106169615,260.9952
0.5,8.0,0.6,0.85,0.25,2517.087375,1065.6219375,551.205,1587.0707106169614,326.244
0.5,8.0,0.6,0.6,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,8.0,0.4,0.85,0.44999999999999996,2517.087375,624.6579375,992.1689999999999,1326.0755106169613,587.2392
0.5,8.0,0.85,0.85,0.0,2517.087375,1616.8269375,0.0,1913.3147106169613,0.0
0.5,8.0,0.6,1.0,0.4,2517.087375,734.8989374999999,881.928,1391.3243106169614,521.9904
