CAP_ANUAL_T,p,vol_onsite_S2_t,n_onsite_S2,Coste_S2,CO2_S2_t,n_onsite_S2_cap,Coste_S2_cap,CO2_S2_cap_t,delta_cost_S2cap_S2,delta_co2_S2cap_S2,perdedores_S2_cap
50000,0.1,15022.45,26,9963968.222000193,2441.7202948314616,26,9963968.222000193,2441.7202948314616,0.0,0.0,0
50000,0.2,43959.5,64,9771351.017388301,2301.2175186037084,64,9771351.017388301,2301.2175186037084,0.0,0.0,0
50000,0.3,82786.05,111,9518020.660707736,2121.405070745612,64,9573139.924844746,2252.189647734813,55119.26413700916,130.784576989201,0
50000,0.4,117974.8,139,9234990.130696965,1954.1697443166227,65,9443018.523652976,2232.6320248576535,208028.392956011,278.46228054103085,0
50000,0.5,163122.0,177,8929124.937848942,1750.1927106169614,47,9340375.001457231,2218.2212936140963,411250.06360828876,468.0285829971349,0
50000,0.6,202481.1,200,8608749.03639458,1567.232513844785,41,9278282.83065724,2209.0683908669553,669533.7942626607,641.8358770221703,0
50000,0.7,241706.15,212,8281700.420651736,1386.2868521931546,34,9224796.855475165,2202.742979060028,943096.4348234292,816.4561268668735,0
100000,0.1,15022.45,26,9963968.222000193,2441.7202948314616,26,9963968.222000193,2441.7202948314616,0.0,0.0,0
100000,0.2,43959.5,64,9771351.017388301,2301.2175186037084,64,9771351.017388301,2301.2175186037084,0.0,0.0,0
100000,0.3,82786.05,111,9518020.660707736,2121.405070745612,111,9518020.660707736,2121.405070745612,0.0,0.0,0
100000,0.4,117974.8,139,9234990.130696965,1954.1697443166227,124,9259341.887831967,2018.2451023740514,24351.757135001943,64.07535805742873,0
100000,0.5,163122.0,177,8929124.937848942,1750.1927106169614,104,9052223.57347384,1996.5098250883725,123098.63562489673,246.31711447141106,0
100000,0.6,202481.1,200,8608749.03639458,1567.232513844785,100,8897921.334357686,1972.4503744213175,289172.297963107,405.21786057653253,0
100000,0.7,241706.15,212,8281700.420651736,1386.2868521931546,103,8765071.121611007,1949.6056523933155,483370.7009592708,563.3188002001609,0
200000,0.1,15022.45,26,9963968.222000193,2441.7202948314616,26,9963968.222000193,2441.7202948314616,0.0,0.0,0
200000,0.2,43959.5,64,9771351.017388301,2301.2175186037084,64,9771351.017388301,2301.2175186037084,0.0,0.0,0
200000,0.3,82786.05,111,9518020.660707736,2121.405070745612,111,9518020.660707736,2121.405070745612,0.0,0.0,0
200000,0.4,117974.8,139,9234990.130696965,1954.1697443166227,139,9234990.130696965,1954.1697443166227,0.0,0.0,0
200000,0.5,163122.0,177,8929124.937848942,1750.1927106169614,177,8929124.937848942,1750.1927106169614,0.0,0.0,0
200000,0.6,202481.1,200,8608749.03639458,1567.232513844785,197,8609350.510842761,1574.8538898673305,601.4744481816888,7.621376022545519,0
200000,0.7,241706.15,212,8281700.420651736,1386.2868521931546,185,8338851.834105066,1531.7079282880113,57151.413453330286,145.42107609485674,0
400000,0.1,15022.45,26,9963968.222000193,2441.7202948314616,26,9963968.222000193,2441.7202948314616,0.0,0.0,0
400000,0.2,43959.5,64,9771351.017388301,2301.2175186037084,64,9771351.017388301,2301.2175186037084,0.0,0.0,0
400000,0.3,82786.05,111,9518020.660707736,2121.405070745612,111,9518020.660707736,2121.405070745612,0.0,0.0,0
400000,0.4,117974.8,139,9234990.130696965,1954.1697443166227,139,9234990.130696965,1954.1697443166227,0.0,0.0,0
400000,0.5,163122.0,177,8929124.937848942,1750.1927106169614,177,8929124.937848942,1750.1927106169614,0.0,0.0,0
400000,0.6,202481.1,200,8608749.03639458,1567.232513844785,200,8608749.03639458,1567.232513844785,0.0,0.0,0
400000,0.7,241706.15,212,8281700.420651736,1386.2868521931546,212,8281700.420651736,1386.2868521931546,0.0,0.0,0
